125 37
0 1 115.24480
0 2 140.89032
0 3 140.98811
0 4 162.21382
0 5 115.09184
0 6 98.63624
0 7 152.92845
0 8 113.44398
0 9 139.07123
0 10 138.65245
0 11 117.92924
0 12 134.33917
0 13 162.57497
0 14 125.21383
0 15 144.82835
0 16 113.02005
0 17 137.58719
0 18 129.44177
0 19 120.43591
0 20 126.57164
0 21 126.76330
0 22 147.62888
0 23 106.63110
0 24 120.87444
0 25 114.05949
0 26 153.03920
0 27 137.87553
0 28 82.47285
0 29 130.87723
0 30 166.09184
0 31 71.62774
0 32 144.68420
0 33 143.28743
0 34 139.54494
0 35 132.43163
0 36 117.59391
0 37 138.30740
0 38 123.52340
0 39 156.56551
0 40 134.32596
0 41 117.28284
0 42 161.48320
0 43 142.22815
0 44 100.63579
0 45 133.85750
0 46 149.34033
0 47 133.06390
0 48 133.88542
0 49 116.14312
0 50 107.27187
0 51 130.62444
0 52 147.91978
0 53 164.72012
0 54 98.44234
0 55 139.32257
0 56 139.20616
0 57 129.53038
0 58 116.58817
0 59 95.63035
0 60 104.10110
0 61 172.22734
0 62 127.14378
0 63 136.70468
0 64 147.42076
0 65 86.07195
0 66 128.88911
0 67 101.69584
0 68 142.84186
0 69 103.58157
0 70 128.49910
0 71 133.48569
0 72 112.42863
0 73 91.56138
0 74 120.07971
0 75 157.44179
0 76 131.55602
0 77 82.44985
0 78 142.19666
0 79 157.63687
0 80 128.14650
0 81 120.68256
0 82 123.65627
0 83 130.69127
0 84 139.28854
0 85 156.85890
0 86 148.18008
0 87 80.67902
0 88 112.46888
0 89 100.66640
0 90 118.16561
0 91 164.49449
0 92 114.18853
0 93 138.76486
0 94 138.36504
0 95 149.91797
0 96 113.30384
0 97 105.47085
0 98 134.54187
0 99 124.22414
0 100 143.67940
0 101 141.68771
0 102 79.86371
0 103 142.29128
0 104 179.29221
0 105 155.85320
0 106 146.69165
0 107 173.32072
0 108 118.63029
0 109 125.30804
0 110 135.44658
0 111 116.09824
0 112 148.35266
0 113 135.19328
0 114 134.54185
0 115 116.46318
0 116 122.53532
0 117 140.98352
0 118 157.69923
0 119 148.49968
0 120 90.45412
0 121 120.81293
0 122 144.15665
