150 45
0 1 130.46434
0 2 170.38187
0 3 155.07985
0 4 146.31268
0 5 95.81940
0 6 163.71985
0 7 134.23323
0 8 119.52280
0 9 112.72630
0 10 131.66786
0 11 105.38697
0 12 152.14461
0 13 138.68814
0 14 155.96992
0 15 135.69803
0 16 87.39092
0 17 83.39452
0 18 132.84465
0 19 113.20053
0 20 149.72534
0 21 122.50910
0 22 168.46970
0 23 162.53397
0 24 151.57613
0 25 150.37692
0 26 121.91818
0 27 137.62289
0 28 137.05528
0 29 152.99181
0 30 87.04237
0 31 123.29587
0 32 138.53822
0 33 134.22107
0 34 173.06139
0 35 158.80191
0 36 161.26019
0 37 125.36400
0 38 159.50136
0 39 167.10760
0 40 130.70010
0 41 118.25687
0 42 127.29330
0 43 157.24933
0 44 133.82596
0 45 134.11665
0 46 139.43881
0 47 117.07813
0 48 106.07487
0 49 103.37135
0 50 136.65414
0 51 156.46953
0 52 89.28596
0 53 162.12219
0 54 121.28929
0 55 119.82952
0 56 167.02556
0 57 157.90218
0 58 144.55214
0 59 125.01918
0 60 116.65461
0 61 126.32838
0 62 112.84321
0 63 132.59541
0 64 102.34566
0 65 147.34573
0 66 113.24724
0 67 141.65558
0 68 126.15414
0 69 138.88348
0 70 153.39754
0 71 126.99422
0 72 155.43913
0 73 136.18484
0 74 124.25671
0 75 133.50623
0 76 196.66846
0 77 121.27461
0 78 108.68314
0 79 89.91678
0 80 173.77678
0 81 132.99104
0 82 124.20016
0 83 160.79225
0 84 123.67758
0 85 145.54575
0 86 122.62030
0 87 134.25591
0 88 110.55042
0 89 164.78584
0 90 143.62119
0 91 122.00274
0 92 162.56291
0 93 96.62962
0 94 141.75519
0 95 140.78508
0 96 139.18607
0 97 122.83205
0 98 138.83298
0 99 119.17860
0 100 177.04726
0 101 106.13590
0 102 137.07178
0 103 124.59319
0 104 150.56042
0 105 143.84631
0 106 140.75385
0 107 111.00578
0 108 135.16576
0 109 152.05605
0 110 158.93715
0 111 155.27977
0 112 114.70778
0 113 82.10326
0 114 123.85120
0 115 158.15810
0 116 145.77782
0 117 162.70341
0 118 141.56462
0 119 153.03212
0 120 165.48573
0 121 126.79473
0 122 160.10896
0 123 85.91267
0 124 124.86466
0 125 131.78769
0 126 114.59540
0 127 135.53824
0 128 119.30940
0 129 122.27081
0 130 127.07312
0 131 120.92352
0 132 169.05931
0 133 189.41434
0 134 128.09174
0 135 161.51282
0 136 123.75776
0 137 143.14812
0 138 123.14702
0 139 95.82369
0 140 101.18743
0 141 150.92599
0 142 187.91013
0 143 134.34906
0 144 157.86913
0 145 139.05171
0 146 119.72913
0 147 137.64223
0 148 145.32587
0 149 124.53217
1 2 82.43507
1 3 141.68150
1 4 127.54465
1 5 133.51288
1 6 128.70116
1 7 120.00304
1 8 106.71799
1 9 121.46055
1 10 123.15477
1 11 144.88234
1 12 120.50472
1 13 100.88615
1 14 111.26299
1 15 104.62695
1 16 136.07494
1 17 126.06391
1 18 115.47841
1 19 96.47005
1 20 112.29305
1 21 121.02039
1 22 74.60629
1 23 120.08171
1 24 82.53628
1 25 86.92091
1 26 87.42285
1 27 65.60844
1 28 114.69283
1 29 113.72120
1 30 78.30620
1 31 125.17097
1 32 106.91125
1 33 116.07153
1 34 106.67791
1 35 68.01277
1 36 114.28655
1 37 70.86149
1 38 95.93296
1 39 114.05027
1 40 81.35193
1 41 114.37499
1 42 76.43668
1 43 93.01707
1 44 96.55518
1 45 103.16817
1 46 75.33408
1 47 97.77754
1 48 120.55573
1 49 106.77107
1 50 92.99161
1 51 143.47769
1 52 105.69376
1 53 118.42416
1 54 112.32020
1 55 86.35184
1 56 105.51597
1 57 118.25368
1 58 129.93523
1 59 109.43373
1 60 70.54578
1 61 71.91872
1 62 98.34072
1 63 107.23299
1 64 108.96613
1 65 103.97126
1 66 116.11699
1 67 137.78539
1 68 105.95045
1 69 118.34798
1 70 81.28014
1 71 117.25706
1 72 104.02834
1 73 106.93288
1 74 143.76437
1 75 136.96265
1 76 139.08763
1 77 65.22518
1 78 138.70726
1 79 106.82549
1 80 130.00804
1 81 98.15252
1 82 82.66216
1 83 127.32047
1 84 71.21049
1 85 92.40646
1 86 101.77939
1 87 89.86556
1 88 98.27238
1 89 110.90589
1 90 94.77957
1 91 114.52878
1 92 105.62416
1 93 112.37332
1 94 75.86367
1 95 136.97275
1 96 111.06722
1 97 111.79142
1 98 138.12836
1 99 127.51973
1 100 102.36763
1 101 116.57208
1 102 94.17835
1 103 112.82899
1 104 92.39879
1 105 75.38177
1 106 116.10757
1 107 88.37718
1 108 139.54434
1 109 122.06449
1 110 104.85416
1 111 108.31247
1 112 79.14404
1 113 108.76882
1 114 90.38322
1 115 91.26549
1 116 109.69897
1 117 69.39538
1 118 99.31032
1 119 99.88074
1 120 82.70792
1 121 113.08426
1 122 105.56470
1 123 107.67297
1 124 135.47025
1 125 107.56245
1 126 148.98790
1 127 101.03738
1 128 99.37215
1 129 81.33878
1 130 54.22958
1 131 102.06138
1 132 134.74442
1 133 118.52872
1 134 119.08070
1 135 115.73815
1 136 123.85128
1 137 106.76769
1 138 110.26307
1 139 120.67496
1 140 130.45956
1 141 113.55290
1 142 114.06361
1 143 107.53850
1 144 130.20663
1 145 127.01977
1 146 85.42010
1 147 106.46229
1 148 77.83070
1 149 97.63314
2 3 144.56377
2 4 108.68579
2 5 137.86142
2 6 143.83530
2 7 153.25337
2 8 121.23390
2 9 138.92236
2 10 144.60446
2 11 149.48068
2 12 91.27971
2 13 77.33095
2 14 95.07132
2 15 135.55040
2 16 146.98940
2 17 152.75456
2 18 109.91404
2 19 104.73683
